mode_index,eigenvalue,coefficient_psi_n_dot_f,spectral_weight,abs_weight
1,-4.469701184366687e-15,0.0912870929175277,0.23899271199226016,0.23899271199226016
2,2.2917960675006275,5.204170427930421e-18,1.946385009081278e-18,1.946385009081278e-18
3,2.291796067500632,-1.734723475976807e-17,-6.487950030270916e-18,6.487950030270916e-18
4,2.2917960675006332,0.0,0.0,0.0
5,2.2917960675006355,1.4153582184214103e-16,5.293508460119633e-17,5.293508460119633e-17
6,5.527864045000408,-1.734723475976807e-17,-2.9353187138470796e-18,2.9353187138470796e-18
7,5.527864045000412,-5.204170427930421e-18,-8.805956141541232e-19,8.805956141541232e-19
8,5.527864045000424,-1.734723475976807e-17,-2.935318713847072e-18,2.935318713847072e-18
9,5.527864045000425,-0.09128709291752761,-0.015446652788429651,0.015446652788429651
10,5.527864045000425,1.6479873021779667e-17,2.788552778154718e-18,2.788552778154718e-18
11,5.527864045000425,1.734723475976807e-18,2.9353187138470715e-19,2.9353187138470715e-19
12,5.527864045000427,-2.6020852139652106e-18,-4.402978070770605e-19,4.402978070770605e-19
13,5.5278640450004275,8.673617379884035e-19,1.467659356923535e-19,1.467659356923535e-19
14,5.527864045000433,4.336808689942018e-17,7.338296784617668e-18,7.338296784617668e-18
15,8.999999999999996,2.0816681711721685e-17,2.2187973913740457e-18,2.2187973913740457e-18
16,8.999999999999996,3.469446951953614e-18,3.697995652290076e-19,3.697995652290076e-19
17,8.999999999999998,3.4171999815252757e-19,3.642306929515245e-20,3.642306929515245e-20
18,9.0,0.0,0.0,0.0
19,9.0,3.469446951953614e-18,3.6979956522900746e-19,3.6979956522900746e-19
20,9.0,6.5052130349130266e-18,6.93374184804389e-19,6.93374184804389e-19
21,9.000000000000002,1.3877787807814457e-17,1.4791982609160296e-18,1.4791982609160296e-18
22,9.000000000000002,-8.673617379884035e-19,-9.244989130725185e-20,9.244989130725185e-20
23,9.000000000000004,-3.9898639947466563e-17,-4.252695000133584e-18,4.252695000133584e-18
24,9.000000000000004,3.74049749507499e-18,3.9869015626252354e-19,3.9869015626252354e-19
25,9.000000000000005,-1.474514954580286e-17,-1.5716481522232809e-18,1.5716481522232809e-18
26,9.000000000000005,1.3877787807814457e-17,1.479198260916029e-18,1.479198260916029e-18
27,9.000000000000007,-8.673617379884035e-19,-9.244989130725179e-20,9.244989130725179e-20
28,9.000000000000009,2.168404344971009e-17,2.3112472826812945e-18,2.3112472826812945e-18
29,9.000000000000009,3.642919299551295e-17,3.882895434904575e-18,3.882895434904575e-18
30,9.000000000000009,5.637851296924623e-18,6.009242934971366e-19,6.009242934971366e-19
31,11.99999999999999,3.2959746043559335e-17,2.6619154029022965e-18,2.6619154029022965e-18
32,11.999999999999993,-2.0469737016526324e-16,-1.6531895660130045e-17,1.6531895660130045e-17
33,11.999999999999995,-2.211772431870429e-17,-1.786285336158119e-18,1.786285336158119e-18
34,11.999999999999995,-1.3877787807814457e-17,-1.1208064854325453e-18,1.1208064854325453e-18
35,11.999999999999996,8.239936510889834e-18,6.654788507255737e-19,6.654788507255737e-19
36,11.999999999999996,-8.673617379884035e-19,-7.005040533953407e-20,7.005040533953407e-20
37,11.999999999999996,-5.421010862427522e-17,-4.37815033372088e-18,4.37815033372088e-18
38,11.999999999999998,3.3393426912553537e-17,2.6969406055720614e-18,2.6969406055720614e-18
39,11.999999999999998,1.734723475976807e-18,1.4010081067906814e-19,1.4010081067906814e-19
40,11.999999999999998,-9.540979117872439e-18,-7.705544587348747e-19,7.705544587348747e-19
41,11.999999999999998,-1.8648277366750676e-17,-1.5060837147999824e-18,1.5060837147999824e-18
42,12.0,-1.6479873021779667e-17,-1.330957701451147e-18,1.330957701451147e-18
43,12.0,-3.2526065174565133e-18,-2.626890200232527e-19,2.626890200232527e-19
44,12.000000000000002,-1.734723475976807e-18,-1.401008106790681e-19,1.401008106790681e-19
45,12.000000000000002,5.204170427930421e-18,4.2030243203720425e-19,4.2030243203720425e-19
46,12.000000000000002,0.09128709291752768,0.0073725846795723166,0.0073725846795723166
47,12.000000000000002,-1.0408340855860843e-17,-8.406048640744085e-19,8.406048640744085e-19
48,12.000000000000002,4.456070928915423e-17,3.598839574318562e-18,3.598839574318562e-18
49,12.000000000000004,-2.42861286636753e-17,-1.961411349506953e-18,1.961411349506953e-18
50,12.000000000000004,-1.4094628242311558e-17,-1.1383190867674281e-18,1.1383190867674281e-18
51,12.000000000000004,-7.28583859910259e-17,-5.884234048520859e-18,5.884234048520859e-18
52,12.000000000000004,-1.734723475976807e-17,-1.4010081067906808e-18,1.4010081067906808e-18
53,12.000000000000005,-1.8214596497756474e-17,-1.4710585121302144e-18,1.4710585121302144e-18
54,12.000000000000007,-5.160802341031001e-17,-4.1679991177022735e-18,4.1679991177022735e-18
55,12.000000000000009,1.9081958235744878e-17,1.5411089174697481e-18,1.5411089174697481e-18
56,13.999999999999986,8.153200337090993e-17,5.669044364806082e-18,5.669044364806082e-18
57,13.99999999999999,6.938893903907228e-17,4.824718608345601e-18,4.824718608345601e-18
58,13.999999999999991,1.717376241217039e-16,1.194117855565536e-17,1.194117855565536e-17
59,13.999999999999991,6.461844948013606e-17,4.49301920402184e-18,4.49301920402184e-18
60,13.999999999999993,1.2836953722228372e-16,8.925729425439359e-18,8.925729425439359e-18
61,13.999999999999993,-8.586881206085195e-17,-5.970589277827679e-18,5.970589277827679e-18
62,13.999999999999993,2.0816681711721685e-17,1.4474155825036798e-18,1.4474155825036798e-18
63,13.999999999999995,-6.765421556309548e-17,-4.7041006431369585e-18,4.7041006431369585e-18
64,13.999999999999995,2.6020852139652106e-16,1.8092694781295996e-17,1.8092694781295996e-17
65,13.999999999999996,-5.377642775528102e-17,-3.739156921467839e-18,3.739156921467839e-18
66,13.999999999999996,1.8735013540549517e-16,1.3026740242533115e-17,1.3026740242533115e-17
67,13.999999999999998,-1.1449174941446927e-16,-7.960785703770235e-18,7.960785703770235e-18
68,13.999999999999998,8.673617379884035e-17,6.030898260431997e-18,6.030898260431997e-18
69,13.999999999999998,9.71445146547012e-17,6.7546060516838365e-18,6.7546060516838365e-18
70,13.999999999999998,-5.637851296924623e-17,-3.920083869280798e-18,3.920083869280798e-18
71,14.0,-1.0755285551056204e-16,-7.478313842935676e-18,7.478313842935676e-18
72,14.0,2.875809214389869e-16,1.9995939443469027e-17,1.9995939443469027e-17
73,14.0,1.734723475976807e-17,1.2061796520863992e-18,1.2061796520863992e-18
74,14.0,1.717376241217039e-16,1.1941178555655352e-17,1.1941178555655352e-17
75,14.0,3.469446951953614e-17,2.4123593041727984e-18,2.4123593041727984e-18
76,14.0,2.7755575615628914e-17,1.929887443338239e-18,1.929887443338239e-18
77,14.000000000000002,1.48318857196017e-16,1.0312836025338712e-17,1.0312836025338712e-17
78,14.000000000000002,1.214306433183765e-16,8.443257564604793e-18,8.443257564604793e-18
79,14.000000000000002,-1.3921155894713877e-16,-9.679591707993354e-18,9.679591707993354e-18
80,14.000000000000004,-1.218643241873707e-16,-8.473412055906953e-18,8.473412055906953e-18
81,14.000000000000005,-2.0990154059319366e-16,-1.4594773790245425e-17,1.4594773790245425e-17
82,14.000000000000007,2.0816681711721685e-17,1.4474155825036784e-18,1.4474155825036784e-18
83,14.000000000000007,3.2959746043559335e-17,2.2917413389641574e-18,2.2917413389641574e-18
84,14.000000000000007,-3.122502256758253e-17,-2.1711233737555175e-18,2.1711233737555175e-18
85,14.000000000000009,1.0451708942760263e-16,7.267232403820551e-18,7.267232403820551e-18
86,14.00000000000001,6.071532165918825e-18,4.2216287823023945e-19,4.2216287823023945e-19
87,14.00000000000001,-1.1796119636642288e-16,-8.202021634187509e-18,8.202021634187509e-18
88,14.000000000000012,-2.3744027577432547e-17,-1.6509583987932575e-18,1.6509583987932575e-18
89,14.000000000000012,-1.3877787807814457e-17,-9.649437216691185e-19,9.649437216691185e-19
90,14.000000000000012,-6.505213034913027e-17,-4.523173695323993e-18,4.523173695323993e-18
91,14.000000000000014,-2.905661822261152e-17,-2.0203509172447167e-18,2.0203509172447167e-18
92,14.47213595499957,1.240327285323417e-16,8.350065780762724e-18,8.350065780762724e-18
93,14.47213595499957,0.09128709291752768,0.0061455814107741445,0.0061455814107741445
94,14.47213595499957,-2.0643209364124004e-16,-1.3897312278472224e-17,1.3897312278472224e-17
95,14.472135954999573,3.5648567431323386e-16,2.399914011114321e-17,2.399914011114321e-17
96,14.472135954999578,-1.95590071916385e-16,-1.3167411423510442e-17,1.3167411423510442e-17
97,14.472135954999578,-1.5916087892087205e-16,-1.0714944550838875e-17,1.0714944550838875e-17
98,14.472135954999581,1.0451708942760263e-16,7.036244241831521e-18,7.036244241831521e-18
99,14.472135954999585,-3.2569433261464553e-16,-2.1926221683051747e-17,2.1926221683051747e-17
100,14.472135954999587,-2.962040335230398e-16,-1.9940891357555715e-17,1.9940891357555715e-17
101,14.999999999999991,5.0133508455729725e-16,3.2592393208425354e-17,3.2592393208425354e-17
102,14.999999999999993,1.3010426069826053e-18,8.458233531598274e-20,8.458233531598274e-20
103,14.999999999999993,8.402566836762659e-17,5.462609155823886e-18,5.462609155823886e-18
104,14.999999999999996,-1.3314002678121994e-16,-8.655592314002231e-18,8.655592314002231e-18
105,15.000000000000002,-1.4582519219930035e-16,-9.48027008333306e-18,9.48027008333306e-18
106,15.000000000000002,6.440160904563896e-17,4.1868255981411435e-18,4.1868255981411435e-18
107,15.000000000000002,-5.849704816417249e-16,-3.8029630361547246e-17,3.8029630361547246e-17
108,15.000000000000002,3.77979982382759e-17,2.457293054127872e-18,2.457293054127872e-18
109,15.000000000000004,-2.6020852139652106e-18,-1.6916467063196537e-19,1.6916467063196537e-19
110,15.000000000000005,2.5153490401663703e-17,1.635258482775665e-18,1.635258482775665e-18
111,15.000000000000007,-1.687018580387445e-16,-1.0967509479305752e-17,1.0967509479305752e-17
112,15.000000000000007,1.1709383462843448e-17,7.612410178438439e-19,7.612410178438439e-19
113,15.000000000000009,5.160802341031001e-17,3.355099300867312e-18,3.355099300867312e-18
114,15.000000000000009,-7.28583859910259e-17,-4.736610777695029e-18,4.736610777695029e-18
115,15.00000000000001,-1.1015494072452725e-16,-7.16130439008653e-18,7.16130439008653e-18
116,15.000000000000014,5.724587470723463e-17,3.7216227539032356e-18,3.7216227539032356e-18
117,15.708203932499364,6.071532165918825e-17,3.773441913382292e-18,3.773441913382292e-18
118,15.708203932499366,1.0162158202654464e-17,6.315755668324774e-19,6.315755668324774e-19
119,15.70820393249937,3.2959746043559335e-17,2.0484398958361005e-18,2.0484398958361005e-18
120,15.708203932499373,6.591949208711867e-17,4.0968797916722e-18,4.0968797916722e-18
