dataset,decay,model,n_data,k_params,chi2,aic,bic,delta_aic_vs_FREE_C9,A_or_DC9,DC9_eff_mean,notes
LHCb-2015,B0->K*mumu,FREE_C9,32,1,31.59959432998963,33.59959432998963,35.06533023278936,0.0,-1.4793748908390585,-1.4793748908390585,DC9=-1.479
LHCb-2015,B0->K*mumu,VFD_GREEN_600CELL,32,1,30.92821261392307,32.928212613923066,34.393948516722794,-0.6713817160665627,1.7587749776718038,-1.5085836927794898,"A=+1.7588, DC9_eff=-1.509"
LHCb-2021-Kstplus,B+->K*+mumu,FREE_C9,32,1,27.11607072037183,29.11607072037183,30.581806623171556,0.0,-2.2437859535603693,-2.2437859535603693,DC9=-2.244
LHCb-2021-Kstplus,B+->K*+mumu,VFD_GREEN_600CELL,32,1,26.567807696228584,28.567807696228584,30.03354359902831,-0.548263024143246,2.7206758264148267,-2.333651113516504,"A=+2.7207, DC9_eff=-2.334"
CMS-2025,B0->K*mumu,FREE_C9,24,1,169.35257876006892,171.35257876006892,172.53063259041687,0.0,-1.4870700145558682,-1.4870700145558682,DC9=-1.487
CMS-2025,B0->K*mumu,VFD_GREEN_600CELL,24,1,167.64672005984434,169.64672005984434,170.8247738901923,-1.7058587002245815,1.7437665024613533,-1.5195884239650663,"A=+1.7438, DC9_eff=-1.520"
CMS-2025-noP4p,B0->K*mumu,FREE_C9,18,1,43.21465711778693,45.21465711778693,46.10502887568309,0.0,-1.3549233139256784,-1.3549233139256784,DC9=-1.355
CMS-2025-noP4p,B0->K*mumu,VFD_GREEN_600CELL,18,1,41.692953927139484,43.692953927139484,44.583325685035646,-1.5217031906474432,1.5906974795648536,-1.386197906981948,"A=+1.5907, DC9_eff=-1.386"
LHCb-2025,B0->K*mumu,FREE_C9,32,1,39.30340988916652,41.30340988916652,42.769145791966245,0.0,-1.340331410060973,-1.340331410060973,DC9=-1.340
LHCb-2025,B0->K*mumu,VFD_GREEN_600CELL,32,1,37.63143393890021,39.63143393890021,41.09716984169994,-1.671975950266308,1.5935042407680777,-1.3667886318136317,"A=+1.5935, DC9_eff=-1.367"
